Newcastle City Council Invoices over £250 paid in June 2015,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Environment & Regeneration,NS: Asset Man              ,Premises,10/06/2015,ADT FIRE & SECURITY,6606399,Revenue,1KL17,Leisure Comm Building R&M,457.13,
Chief Executive's,CD - Accountancy                 ,Supplies & Services,05/06/2015,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,6580658,Revenue,1RB16,Transformation Costs,850,
Chief Executive's,CD - Exchequer Payroll Prep      ,Supplies & Services,05/06/2015,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,6580661,Revenue,1CG30,Accounts Payable,850,
Children's Services,Invoice,Supplies & Services,05/06/2015,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,6580664,Revenue,1FF51,Finance,5100,
Children's Services,Invoice,Supplies & Services,05/06/2015,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,6580665,Revenue,1FF51,Finance,850,
Children's Services,Invoice,Supplies & Services,05/06/2015,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,6586748,Revenue,1RB16,Transformation Costs,328.77,
Children's Services,Invoice,Supplies & Services,05/06/2015,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,6586748,Revenue,1CG30,Accounts Payable,167.12,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,08/06/2015,ADVANCED CALIBRATIONS LTD,6599852,Revenue,1KR01,Responsive Maintenance,318,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,02/06/2015,ADVANCED CHILDCARE GROUP,6599049,Revenue,1MC02,Ind Sector Placements,12540,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,02/06/2015,ADVANCED CHILDCARE GROUP,6599050,Revenue,1MC12,Section 31A High Care Needs,12540,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,02/06/2015,ADVANCED CHILDCARE GROUP,6599051,Revenue,1MC02,Ind Sector Placements,12000,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,29/06/2015,ADVANCED CHILDCARE GROUP,6624169,Revenue,1MC02,Ind Sector Placements,12540,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,29/06/2015,ADVANCED CHILDCARE GROUP,6624170,Revenue,1MC12,Section 31A High Care Needs,12540,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,29/06/2015,ADVANCED CHILDCARE GROUP,6624171,Revenue,1MC02,Ind Sector Placements,12000,
HRA,HRA Outer West CSC         ,Premises,05/06/2015,ADVANCED CLEANING & MAINTENANCE LTD,6599205,Revenue,1HA01,R&M Gen - Citywide,830,
HRA,HRA West End CSC           ,Premises,04/06/2015,ADVANCED CLEANING & MAINTENANCE LTD,6601306,Revenue,1HA01,R&M Gen - Citywide,966,
Chief Executive's,CD - Legal Services              ,Supplies & Services,22/06/2015,ADVANCED LEGAL LTD,6614783,Revenue,1FA51,Coroner,1050,
Environment & Regeneration,NS: District Heating       ,Premises,01/06/2015,ADVANCED WATER TECHNOLOGIES,6597182,Revenue,1KR05,District Heating,1365,
HRA,HRA Property Maint         ,Premises,18/06/2015,ADVANTAGE UTILTITIES LTD,6599203,Revenue,1HBTC,Planned Tech Maintenance,800,
HRA,HRA Property Maint         ,Premises,19/06/2015,ADVANTAGE UTILTITIES LTD,6572686,Revenue,1HBTC,Planned Tech Maintenance,700,
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,17/06/2015,ADVANTEX NETWORK SOLUTIONS LTD,6612792,Capital,2N401,Capital General,2875,
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,24/06/2015,ADVANTEX NETWORK SOLUTIONS LTD,6616375,Capital,2N401,Capital General,2870,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,18/06/2015,AEBI SCHMIDT UK LTD,6602002,Revenue,3KES1,Fleetmaster Stores Account,570.72,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,29/06/2015,AEBI SCHMIDT UK LTD,6608594,Revenue,3KES1,Fleetmaster Stores Account,945.57,
Environment & Regeneration,E&R Trans P&D              ,Capital Expenditure,24/06/2015,AECOM,6618458,Capital,2DP02,Devt Capital CC,13724,
Environment & Regeneration,E&R Trans P&D              ,Capital Expenditure,24/06/2015,AECOM,6618459,Capital,2DP02,Devt Capital CC,3648,
Environment & Regeneration,E&R Trans P&D              ,Capital Expenditure,23/06/2015,AECOM,6607370,Capital,2DP02,Devt Capital CC,12954.25,
Adult and Culture,Social Services                        ,Third Party Payments,42170,AGE UK NEWCASTLE,6609559,Revenue,1MG55,Extra Care Housing,6252.22,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,42166,AGE UK NEWCASTLE,6607192,Revenue,1MG60,Day Care OP,16338.24,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,42166,AGE UK NEWCASTLE,6607192,Revenue,1FA23,Cost Centre not Found,13029.8,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,42173,AGE UK NEWCASTLE,6613876,Revenue,1MG91,VCS Commissioning OP,4916.36,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,6604314,Revenue,1MG50,Home Care-Spot Purchased OP,1180,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,6604314,Revenue,1MH50,Home Care PD,7811.6,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,6604343,Revenue,1MH50,Home Care PD,273.84,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,6604344,Revenue,1MH50,Home Care PD,1369.2,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,6604345,Revenue,1MH50,Home Care PD,1665.88,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,6604346,Revenue,1MH50,Home Care PD,6937.28,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,6604347,Revenue,1MH50,Home Care PD,1780.08,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,6604348,Revenue,1MH50,Home Care PD,6321.16,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,12/06/2015,AGE UK NEWCASTLE,6608085,Revenue,1MG51,Home Care-Personal OP,56973.61,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,12/06/2015,AGE UK NEWCASTLE,6608085,Revenue,1MH50,Home Care PD,4000.22,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,12/06/2015,AGE UK NEWCASTLE,6608085,Revenue,1MK51,Home Care LD,887.96,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,12/06/2015,AGE UK NEWCASTLE,6608085,Revenue,1MM50,Home Care MH,1273.08,
Environment & Regeneration,NS: Asset Man              ,Premises,18/06/2015,AIR TECHNIQUE,6613521,Revenue,1HP01,Comm. Centres - Citywide,415,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,6586409,Revenue,1KBAA,Building Contracts,525.7,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,6586411,Revenue,1KBAA,Building Contracts,339.21,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,6586412,Revenue,1KBAA,Building Contracts,330.93,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,6586413,Revenue,1KBAA,Building Contracts,330.93,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,6586570,Revenue,1KBAA,Building Contracts,339.21,
