Created as New Dataset,Sample 022 By Administrator Date Saturday, February 11 2017
cm-1,%T
2627.00,98.03
2626.00,98.03
2625.00,98.02
2624.00,98.01
2623.00,98.01
2622.00,98.00
2621.00,97.99
2620.00,97.98
2619.00,97.98
2618.00,97.97
2617.00,97.98
2616.00,97.98
2615.00,97.97
2614.00,97.97
2613.00,97.96
2612.00,97.95
2611.00,97.93
2610.00,97.92
2609.00,97.91
2608.00,97.91
2607.00,97.91
2606.00,97.92
2605.00,97.92
2604.00,97.91
2603.00,97.91
2602.00,97.90
2601.00,97.90
2600.00,97.90
2599.00,97.89
2598.00,97.88
2597.00,97.88
2596.00,97.87
2595.00,97.87
2594.00,97.88
2593.00,97.88
2592.00,97.88
2591.00,97.88
2590.00,97.88
2589.00,97.87
2588.00,97.87
2587.00,97.86
2586.00,97.86
2585.00,97.86
2584.00,97.87
2583.00,97.88
2582.00,97.90
2581.00,97.90
2580.00,97.89
2579.00,97.89
2578.00,97.88
2577.00,97.88
2576.00,97.88
2575.00,97.89
2574.00,97.89
2573.00,97.89
2572.00,97.88
2571.00,97.87
2570.00,97.87
2569.00,97.88
2568.00,97.88
2567.00,97.89
2566.00,97.90
2565.00,97.91
2564.00,97.90
2563.00,97.89
2562.00,97.89
2561.00,97.88
2560.00,97.88
2559.00,97.89
2558.00,97.90
2557.00,97.90
2556.00,97.90
2555.00,97.90
2554.00,97.90
2553.00,97.89
2552.00,97.89
2551.00,97.88
2550.00,97.87
2549.00,97.86
2548.00,97.85
2547.00,97.85
2546.00,97.85
2545.00,97.84
2544.00,97.83
2543.00,97.82
2542.00,97.82
2541.00,97.81
2540.00,97.80
2539.00,97.78
2538.00,97.76
2537.00,97.74
2536.00,97.71
2535.00,97.69
2534.00,97.66
2533.00,97.63
2532.00,97.58
2531.00,97.54
2530.00,97.49
2529.00,97.45
2528.00,97.42
2527.00,97.39
2526.00,97.36
2525.00,97.33
2524.00,97.30
2523.00,97.26
2522.00,97.22
2521.00,97.19
2520.00,97.15
2519.00,97.13
2518.00,97.11
2517.00,97.09
2516.00,97.08
2515.00,97.07
2514.00,97.08
2513.00,97.08
2512.00,97.08
2511.00,97.07
2510.00,97.08
2509.00,97.10
2508.00,97.13
2507.00,97.17
2506.00,97.21
