"Name","Start date of trip","Duration of Visit (Days)","Destination","Purpose of trip","Mode of transport","Class of travel","Accomodation/Meals","Other (including hospitality given)","Total cost, including all visas, accommodation, travel, meals etc. ()","Total Cost of Use of Official Secure Car","Booked through"
"Sutton, Mr. Kenneth David",2016-10-13,"","Liverpool","External Meeting","","","Hotel Room","",59.59,"","Redfern"
"Sutton, Mr. Kenneth David",2016-10-13,"","London Zones 1-6","External Meeting","Rail","Standard","","",18.2,"","Redfern"
"Sutton, Mr. Kenneth David",2016-10-13,"","Warrington Bank Quay","External Meeting","Rail","Standard","","",626,"","Redfern"
"Tribe, Mr. Lee Kelvin",2016-10-13,"","","From Coventry to Ryton to speak at planning event","Taxis","","","",15.8,"",""
"Tribe, Mr. Lee Kelvin",2016-10-13,"","Coventry","External Meeting","Rail","Standard","","",150,"","Redfern"
"Wilkinson, Ms. Patsy",2016-10-13,"","","Taxi from 2 Marsham to Cabinet Office, Whitehall for Cabinet Office meeting","Taxis","","","",5,"",""
"Williams, Ms. Wendy",2016-10-13,"","Newcastle","External Meeting","Rail","Standard","","",44.5,"","Redfern"
"Williams, Ms. Wendy",2016-10-13,"","Newcastle","External Meeting","Rail","Standard","","",41.5,"","Redfern"
"Arnott, Dr. Robert Henry",2016-10-14,"","","2MS to Euston (Ryton planning day)","Taxis","","","",20,"",""
"Arnott, Dr. Robert Henry",2016-10-14,"","","Coventry Stn to Ryton (planning day)","Taxis","","","",19,"",""
"Arnott, Dr. Robert Henry",2016-10-14,"","","Ryton to Coventry Stn (Ryton planning day)","Taxis","","","",18.5,"",""
"Duffy, Mr. Philip",2016-10-14,"","","Rail ticket to attend Heathrow View point","T&S - Planes, Trains and Automobiles","Standard/Economy","","",9,"",""
"Duffy, Mr. Philip",2016-10-14,"","","Travel to View point Heathrow","T&S - Hotels","","","",6.5,"",""
"Hepple, Mr. Tyson Julian",2016-10-14,"","Liverpool Lime Street","External Meeting","Rail","Standard","","",7.1,"","Redfern"
"Hepple, Mr. Tyson Julian",2016-10-14,"","London Euston","External Meeting","Rail","Standard","","",27,"","Redfern"
"Hepple, Mr. Tyson Julian",2016-10-14,"","Manchester Piccadilly","External Meeting","Rail","Standard","","",37,"","Redfern"
"Montgomery, Sir Charles Percival",2016-10-14,"","","Tube journey to HO Charity Event","T&S - Hotels","","","",2.4,"",""
"Montgomery, Sir Charles Percival",2016-10-14,"","London Blackfriars","External Meeting","Rail","Standard","","",11.6,"","Redfern"
"Montgomery, Sir Charles Percival",2016-10-14,"","St Albans Station","External Meeting","Rail","Standard","","",11.6,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-10-14,"","","travel back from heathrow","T&S - Overseas Expenses","Standard/Economy","","",22,"",""
"Owen, Mr. Marc",2016-10-14,"","","Travel back from Workshop in Amadeus House, Heathrow","T&S - Planes, Trains and Automobiles","Standard/Economy","","",4.9,"",""
