"Name","Start date of trip","Duration of Visit (Days)","Destination","Purpose of trip","Mode of transport","Class of travel","Accomodation/Meals","Other (including hospitality given)","Total cost, including all visas, accommodation, travel, meals etc. ()","Total Cost of Use of Official Secure Car","Booked through"
"Oppenheim, Mr. Jeremy",2016-12-08,"","","personal mobile used for business calls. 70% of bill claimed","Miscellaneous","","","",33.99,"",""
"Riach, Ms. Shona",2016-12-08,"","Brussels Midi","External Meeting","Cont Rail","Standard","","",169,"","Redfern"
"Taylor, Mr. David Mclure",2016-12-08,"","London Zones 1-6","External Meeting","Rail","Standard","","",17.2,"","Redfern"
"Williams, Ms. Wendy",2016-12-08,"","Newcastle","External Meeting","Rail","Standard","","",79.5,"","Redfern"
"O'brien, Mr. John",2016-12-08,"","","External Meeting","T&S - Subsistence","","","",30.25,"",""
"Dottridge, Mr. Adrian Yme",2016-12-09,"","","Tube travel","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Lloyd, Ms. Myrtle",2016-12-09,"","","Car parking @ Peterborough.","T&S - Planes, Trains and Automobiles","","","",5.7,"",""
"Lloyd, Ms. Myrtle",2016-12-09,"","","Petrol for hire car.  Return journey to Peterborough nearly 300 miles.","T&S - Planes, Trains and Automobiles","","","",36.54,"",""
"Lloyd, Ms. Myrtle",2016-12-09,"","","M6 Toll charge.","T&S - Planes, Trains and Automobiles","","","",11,"",""
"O'brien, Mr. John",2016-12-09,"","","External meeting travelling after","T&S - Employee Reimbursed Mileage","","","",93.6,"",""
"Riach, Ms. Shona",2016-12-09,"","London St Pancras","External Meeting","Cont Rail","Standard","","",187,"","Redfern"
"Tribe, Mr. Lee Kelvin",2016-12-09,"","","Shared taxi New Street to supplier","Taxis","","","",6.2,"",""
"Tribe, Mr. Lee Kelvin",2016-12-09,"","Birmingham New St","External Meeting","Rail","Standard","","",81.1,"","Redfern"
"Arnott, Dr. Robert Henry",2016-12-12,"","","ASLEF strike - no trains - only way to attend work","T&S - Hotels","","","",125,"",""
"Clarke, Mr. Richard William John",2016-12-12,"","Geneva","External Meeting","Web Transaction","Economy","","",110.17,"","Redfern"
"Lloyd, Ms. Myrtle",2016-12-12,"","","Petrol for hire car","T&S - Planes, Trains and Automobiles","","","",21.96,"",""
"Montgomery, Sir Charles Percival",2016-12-12,"","","Tube from Westminster to London City Airport for team Visit","T&S - Planes, Trains and Automobiles","Standard/Economy","","",2.8,"",""
"Montgomery, Sir Charles Percival",2016-12-12,"","","Meal during travel to Netherlands for work appointment","T&S - Subsistence","","","",16,"",""
"Montgomery, Sir Charles Percival",2016-12-12,"","Rotterdam","External Meeting","Air Tickets","Economy","","",309.35,"","Redfern"
"Riach, Ms. Shona",2016-12-12,"","","Taxi from airport to hotel","Taxis","","","",13.64,"",""
"Riach, Ms. Shona",2016-12-12,"","Amsterdam","External Meeting","","","Hotel (Foreign) Superior Suite","",96.37,"","Redfern"
"Tribe, Mr. Lee Kelvin",2016-12-12,"","London Heathrow","External Meeting","","","Hotel Room","",113.1,"","Redfern"
"Williams, Ms. Wendy",2016-12-12,"","London Kings Cross","External Meeting","Rail","Standard","","",126.5,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-12-13,"","London Euston","External Meeting","Rail","Standard","","",345,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-12-13,"","London Heathrow","External Meeting","","","Hotel Standard- One- King Size","",129.6,"","Redfern"
"Eastaugh, Mr. Tony",2016-12-13,"","Sheffield","External Meeting","Rail","Standard","","",179,"","Redfern"
"Lloyd, Ms. Myrtle",2016-12-13,"","","Tube delays, took Taxi from Green Park to Victoria station to avoid being late for Board meeting.","Taxis","","","",6.8,"",""
"Lloyd, Ms. Myrtle",2016-12-13,"","","car Parking cheaper than Taxi to station","T&S - Planes, Trains and Automobiles","","","",6.7,"",""
"Lloyd, Ms. Myrtle",2016-12-13,"","Chester","INTERNAL MEETING","Rail","Standard","","",139.5,"","Redfern"
"Lloyd, Ms. Myrtle",2016-12-13,"","ZONE U1* LONDN","INTERNAL MEETING","Rail","Standard","","",129,"","Redfern"
"Montgomery, Sir Charles Percival",2016-12-13,"","","Tube from London City Airport (visit to BF counterparts in Rotterdam) back to 2 Marsham Street","T&S - Planes, Trains and Automobiles","Standard/Economy","","",2.8,"",""
"Montgomery, Sir Charles Percival",2016-12-13,"","London City","External Meeting","Air Tickets","Economy","","",95.56,"","Redfern"
"Montgomery, Sir Charles Percival",2016-12-13,"","","","Baggage","","","",6,"","Redfern"
"Oppenheim, Mr. Jeremy",2016-12-13,"","","breakfast with Nicholas Fox KPMG to discuss forthcoming HO/KPMG U collaborative event on vulnerability","Canteens, Lunches, Vending","","","",45.56,"",""
"Riach, Ms. Shona",2016-12-13,"","","Taxi from hotel to Europol","Taxis","","","",10.91,"",""
"Riach, Ms. Shona",2016-12-13,"","","Train ticket to airport","T&S - Planes, Trains and Automobiles","Standard/Economy","","",7.55,"",""
"Riach, Ms. Shona",2016-12-13,"","","Train ticket","T&S - Planes, Trains and Automobiles","Standard/Economy","","",10.15,"",""
"Sutton, Mr. Kenneth David",2016-12-13,"","London Zones 1-6","External Meeting","Rail","Standard","","",17.7,"","Redfern"
"Tribe, Mr. Lee Kelvin",2016-12-13,"","Bristol Temple Meads","External Meeting","Rail","Standard","","",127.5,"","Redfern"
"Arnott, Dr. Robert Henry",2016-12-14,"","","ASLEF strike - only way of attending work","T&S - Hotels","","","",100,"",""
"Eastaugh, Mr. Tony",2016-12-14,"","London Heathrow","External Meeting","","","Hotel Room","",167.6,"","Redfern"
"Hayes, Mr. Simon Thomas",2016-12-14,"","","Meal at Leopold Hotel","T&S - Planes, Trains and Automobiles","","","",51,"",""
"Hayes, Mr. Simon Thomas",2016-12-14,"","","Oyster fare to train station","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Hayes, Mr. Simon Thomas",2016-12-14,"","","Dinner for 3 SCS","T&S - Planes, Trains and Automobiles","","","",51,"",""
"Hayes, Mr. Simon Thomas",2016-12-14,"","Doncaster/Sheffield","External Meeting","","","Hotel Room","",75.6,"","Redfern"
"Hayes, Mr. Simon Thomas",2016-12-14,"","Sheffield","External Meeting","Rail","Standard","","",86,"","Redfern"
"Lloyd, Ms. Myrtle",2016-12-14,"","","Overnight stay in Glasgow.  Dinner.","T&S - Subsistence","","","",26,"",""
"Lloyd, Ms. Myrtle",2016-12-14,"","","Taxi from home to railway station.  No suitable public transport and No Parking spaces in car park.","Taxis","","","",7.5,"",""
"Lloyd, Ms. Myrtle",2016-12-14,"","","Taxi from Glasgow Central to Glasgow APC","Taxis","","","",6.4,"",""
"Lloyd, Ms. Myrtle",2016-12-14,"","","Left home at 6:30","T&S - Subsistence","","","",4.25,"",""
"Lloyd, Ms. Myrtle",2016-12-14,"","Glasgow","INTERNAL MEETING","","","Hotel Room","",75.6,"","Redfern"
"Lloyd, Ms. Myrtle",2016-12-14,"","Glasgow Central","INTERNAL MEETING","Rail","Standard","","",183,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-12-14,"","","Taxi from airport to hotel","T&S - Overseas Expenses","","","",25,"",""
"Morrison, Mr. Paul Noble Wilson",2016-12-14,"","","train to airport in uk","T&S - Overseas Expenses","Standard/Economy","","",22,"",""
"Morrison, Mr. Paul Noble Wilson",2016-12-14,"","","this was the cost of the venue accomodation","T&S - Overseas Expenses","","","",167.58,"",""
"Morrison, Mr. Paul Noble Wilson",2016-12-14,"","Ottawa","External Meeting","Air Tickets","Economy","","",1161.85,"","Redfern"
"Oppenheim, Mr. Jeremy",2016-12-14,"","","trvel from 2MS to DCMS for Ministerial meeting to discuss child sexual abuse in sport.","Taxis","","","",19.1,"",""
"Oppenheim, Mr. Jeremy",2016-12-14,"","","travel from DCMS to HO following Ministerial meeting.","Taxis","","","",18.92,"",""
"Sutton, Mr. Kenneth David",2016-12-14,"","London Zones 1-4","External Meeting","Rail","Standard","","",12.6,"","Redfern"
"Williams, Ms. Wendy",2016-12-14,"","Birmingham New St","External Meeting","Rail","Standard","","",25,"","Redfern"
"Arnott, Dr. Robert Henry",2016-12-15,"","","ASLEF strike - only way of attending work","T&S - Hotels","","","",125,"",""
"Eastaugh, Mr. Tony",2016-12-15,"","","External Meeting","Billback Fee","","","",0.6,"","Redfern"
"Lloyd, Ms. Myrtle",2016-12-15,"","","Taxi from Glasgow APC to Glasgow Central","Taxis","","","",3.3,"",""
"Lloyd, Ms. Myrtle",2016-12-15,"","","Taxi from Chester Station to home.  No suitable public transport.","Taxis","","","",8,"",""
"Lloyd, Ms. Myrtle",2016-12-15,"","Chester","INTERNAL MEETING","Rail","Standard","","",93,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-12-15,"","","travel to conference","T&S - Overseas Expenses","","","",25,"",""
"Morrison, Mr. Paul Noble Wilson",2016-12-15,"","","travel from hotel to airport","T&S - Overseas Expenses","","","",25,"",""
"Thomson, Mr. Mark David",2016-12-15,"","","Oyster ticket for Zone 1 tube travel","T&S - Planes, Trains and Automobiles","","","",4.8,"",""
"Williams, Mr. Glyn",2016-12-15,"","","Taxi to and from home to Heathrow - early start and late finish and taxis in Belfast","T&S - Overseas Expenses","","","",98,"",""
"Williams, Mr. Glyn",2016-12-15,"","Belfast City","External Meeting","Air Tickets","Economy","","",294.64,"","Redfern"
"Williams, Ms. Wendy",2016-12-15,"","Birmingham","External Meeting","","","Hotel Standard- One- Double","",85.6,"","Redfern"
"Williams, Ms. Wendy",2016-12-15,"","Birmingham New St","External Meeting","Rail","Standard","","",56,"","Redfern"
"Williams, Ms. Wendy",2016-12-15,"","Newcastle","External Meeting","Rail","Standard","","",11,"","Redfern"
"Williams, Mr. Glyn",2016-12-15,"","","Business Trip","T&S - Subsistence","","","",9.3,"",""
"Arnott, Dr. Robert Henry",2016-12-16,"","","ASLEF strike - only way of attending work","T&S - Hotels","","","",92,"",""
"Clarke, Mr. Richard William John",2016-12-16,"","","travel from airport","Taxis","","","",70,"",""
"Clarke, Mr. Richard William John",2016-12-16,"","","Travel to Geneva to meet international delegation","Miscellaneous","","","",603.61,"",""
"Morrison, Mr. Paul Noble Wilson",2016-12-16,"","","return from airport","T&S - Overseas Expenses","Standard/Economy","","",22,"",""
"Thomson, Mr. Mark David",2016-12-16,"","","Urgent travel to attend 9.30 EMB meeting","Taxis","","","",45,"",""
"Tribe, Mr. Lee Kelvin",2016-12-16,"","Reading Station","External Meeting","Rail","Standard","","",45.8,"","Redfern"
"Williams, Ms. Wendy",2016-12-16,"","Newcastle","External Meeting","Rail","Standard","","",52,"","Redfern"
"Williams, Ms. Wendy",2016-12-19,"","Bristol","External Meeting","Web Transaction","Economy","","",40.79,"","Redfern"
"Lloyd, Ms. Myrtle",2016-12-20,"","","Taxi from home to railway station. No suitable public transport.","Taxis","","","",8,"",""
"Lloyd, Ms. Myrtle",2016-12-20,"","","Taxi from Chester station to home.  No suitable public transport. Longer route due to road works.","Taxis","","","",9.4,"",""
"Lloyd, Ms. Myrtle",2016-12-20,"","","Left home early, breakfast on train.","T&S - Subsistence","","","",4.25,"",""
"Lloyd, Ms. Myrtle",2016-12-20,"","Birmingham New St","External Meeting","Rail","Standard","","",75.8,"","Redfern"
"Tribe, Mr. Lee Kelvin",2016-12-20,"","","I've checked and reclaim is in line with policy (Lesley Dec 16). Fellowship level.","Miscellaneous","","","",216,"",""
"Cunningham, Mr. Michael Bernard",2016-12-21,"","London Euston","External Meeting","Rail","Standard","","",291,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-12-21,"","Preston","External Meeting","Rail","Standard","","",173,"","Redfern"
"Ind, Mr. Hugh Timothy",2016-12-21,"","","Working Lunch for IE Senior Leadership Team Meeting","Miscellaneous","","","",74.9,"",""
"Williams, Mr. Glyn",2016-12-21,"","","Taxi from home to Heathrow, very early start and Heathrow Express back","T&S - Overseas Expenses","","","",67,"",""
"Williams, Mr. Glyn",2016-12-21,"","Dublin","External Meeting","Air Tickets","Business","","",266.05,"","Redfern"
"Williams, Mr. Glyn",2016-12-21,"","London Heathrow","External Meeting","Air Tickets","Economy","","",145.1,"","Redfern"
"Williams, Ms. Wendy",2016-12-21,"","Newcastle","External Meeting","Rail","Standard","","",140,"","Redfern"
"Williams, Mr. Glyn",2016-12-21,"","","Business Trip","T&S - Subsistence","","","",9.3,"",""
"Duffy, Mr. Philip",2016-12-22,"","","Vist to Coventry Postal HUb","T&S - Planes, Trains and Automobiles","Standard/Economy","","",98.8,"",""
"Sutton, Mr. Kenneth David",2016-12-22,"","Folkestone Central","External Meeting","Rail","Standard","","",40.2,"","Redfern"
"Williams, Ms. Wendy",2016-12-22,"","Newcastle","External Meeting","Rail","Standard","","",65,"","Redfern"
"Riach, Ms. Shona",2016-12-28,"","","Travel to HPDS Ditchley Park Roundtable","Taxis","","","",14.2,"",""
"Oppenheim, Mr. Jeremy",2016-12-31,"","","Annual subscription to Enterprise Car Club","T&S - Planes, Trains and Automobiles","","","",30,"",""
