ENTITY,DATE,EXPENSE AREA ,EXPENSE TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
HMCS,09-Mar-11,HZ999-North East and Yorkshire,222192-CIS Labour Mechanical & Electric,BAILEY MAINTENANCE LTD,1519769,"£56,431.53"
HMCS,09-Mar-11,HZ999-North East and Yorkshire,222192-CIS Labour Mechanical & Electric,HONEYWELL CONTROL SYSTEMS LTD,1520202,"£37,403.26"
HMCS,16-Mar-11,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1529231,"£42,200.54"
HMCS,16-Mar-11,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,NORLAND MANAGED SERVICES LTD,1529283,"£32,857.08"
HMCS,16-Mar-11,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,NORLAND MANAGED SERVICES LTD,1529283,"£41,380.22"
HMCS,16-Mar-11,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,BAILEY MAINTENANCE LTD,1528524,"£27,075.60"
HMCS,16-Mar-11,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,BAILEY MAINTENANCE LTD,1528524,"£25,273.80"
HMCS,18-Mar-11,BZ999-London Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1531854,"£119,782.03"
HMCS,18-Mar-11,GZ999-North West Region,222192-CIS Labour Mechanical & Electric,CARILLION PLANNED MAINTENANCE,1531520,"£194,348.36"
HMCS,18-Mar-11,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,BAILEY MAINTENANCE LTD,1531443,"£41,361.29"
HMCS,25-Mar-11,BZ999-London Region,222192-CIS Labour Mechanical & Electric,NORLAND MANAGED SERVICES LTD,1540368,"£123,149.78"
HMCS,30-Mar-11,IZ999-RCJ Group,222192-CIS Labour Mechanical & Electric,CARILLION PLANNED MAINTENANCE,1546815,"£65,976.30"
HMCS,30-Mar-11,GZ999-North West Region,222192-CIS Labour Mechanical & Electric,CARILLION PLANNED MAINTENANCE,1546815,"£28,945.44"
HMCS,30-Mar-11,FZ999-Midlands Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1547562,"£38,512.06"
HMCS,30-Mar-11,FZ999-Midlands Region,222192-CIS Labour Mechanical & Electric,EMCOR FACILITIES SERVICES LTD,1547030,"£125,793.29"
HMCS,31-Mar-11,IZ999-RCJ Group,222192-CIS Labour Mechanical & Electric,CARILLION PLANNED MAINTENANCE,1548281,"£120,000.00"
HMCS,04-Mar-11,IZ999-RCJ Group,222193-CIS Labour B & CE,SYKES & SON LTD,1515200,"£37,440.60"
HMCS,30-Mar-11,FZ999-Midlands Region,222193-CIS Labour B & CE,WILLMOTT DIXON PARTNERSHIPS LTD,1548162,"£29,201.86"
HMCS,02-Mar-11,IZ999-RCJ Group,223326-SCA Accommodation,IRON MOUNTAIN UK LTD,1511916,"£238,968.13"
HMCS,02-Mar-11,FZ999-Midlands Region,223326-SCA Accommodation,DERBYSHIRE COURTS LTD,1511669,"£463,579.28"
HMCS,09-Mar-11,CZ999-South East Region,223326-SCA Accommodation,MODERN COURTS (EAST ANGLIA) LTD,1520417,"£426,675.44"
HMCS,11-Mar-11,DZ999-South West Region,223326-SCA Accommodation,ENTERPRISE CIVIC BUILDINGS LIMITED,1523315,"£292,524.85"
HMCS,11-Mar-11,DZ999-South West Region,223326-SCA Accommodation,SERVICES SUPPORT (AVON & SOMERSET) LTD,1523715,"£784,250.66"
HMCS,16-Mar-11,HZ999-North East and Yorkshire,223326-SCA Accommodation,MODERN COURTS (HUMBERSIDE) LTD,1529235,"£373,880.09"
HMCS,16-Mar-11,HZ999-North East and Yorkshire,223326-SCA Accommodation,PALECASTLE LTD,1529336,"£106,744.09"
HMCS,23-Mar-11,GZ999-North West Region,223326-SCA Accommodation,UK COURT SERVICES LTD,1538199,"£545,721.88"
HMCS,30-Mar-11,FZ999-Midlands Region,223326-SCA Accommodation,DERBYSHIRE COURTS LTD,1546973,"£482,892.38"
HMCS,04-Mar-11,HZ999-North East and Yorkshire,223513-Design/Print/Reprographic Services,HM PRISON SERVICE,1514794,"£32,422.28"
HMCS,04-Mar-11,HZ999-North East and Yorkshire,223513-Design/Print/Reprographic Services,HM PRISON SERVICE,1514794,"£82,892.72"
